Tanggal,RR
8/1/2025,5.00
7/1/2025,5.25
6/1/2025,5.50
5/1/2025,5.50
4/1/2025,5.75
3/1/2025,5.75
2/1/2025,5.75
1/1/2025,5.75
12/1/2024,6.00
11/1/2024,6.00
10/1/2024,6.00
9/1/2024,6.00
8/1/2024,6.25
7/1/2024,6.25
6/1/2024,6.25
5/1/2024,6.25
4/1/2024,6.25
3/1/2024,6.00
2/1/2024,6.00
1/1/2024,6.00
12/1/2023,6.00
11/1/2023,6.00
10/1/2023,6.00
9/1/2023,5.75
8/1/2023,5.75
7/1/2023,5.75
6/1/2023,5.75
5/1/2023,5.75
4/1/2023,5.75
3/1/2023,5.75
2/1/2023,5.75
1/1/2023,5.75
12/1/2022,5.50
11/1/2022,5.25
10/1/2022,4.75
9/1/2022,4.25
8/1/2022,3.75
7/1/2022,3.50
6/1/2022,3.50
5/1/2022,3.50
4/1/2022,3.50
3/1/2022,3.50
2/1/2022,3.50
1/1/2022,3.50
12/1/2021,3.50
11/1/2021,3.50
10/1/2021,3.50
9/1/2021,3.50
8/1/2021,3.50
7/1/2021,3.50
6/1/2021,3.50
5/1/2021,3.50
4/1/2021,3.50
3/1/2021,3.50
2/1/2021,3.50
1/1/2021,3.75
12/1/2020,3.75
11/1/2020,3.75
10/1/2020,4.00
9/1/2020,4.00
8/1/2020,4.00
7/1/2020,4.00
6/1/2020,4.25
5/1/2020,4.50
4/1/2020,4.50
3/1/2020,4.50
2/1/2020,4.75
1/1/2020,5.00
