Periode,Point
2021-01,84.9
2021-02,85.8
2021-03,93.4
2021-04,101.5
2021-05,104.4
2021-06,107.4
2021-07,80.2
2021-08,77.3
2021-09,95.5
2021-10,113.4
2021-11,118.5
2021-12,118.3
2022-01,119.6
2022-02,113.1
2022-03,111
2022-04,113.1
2022-05,128.9
2022-06,128.2
2022-07,123.2
2022-08,124.7
2022-09,117.2
2022-10,120.3
2022-11,119.1
2022-12,119.9
2023-01,123
2023-02,122.4
2023-03,123.3
2023-04,126.1
2023-05,128.3
2023-06,127.1
2023-07,123.5
2023-08,125.2
2023-09,121.7
2023-10,124.3
2023-11,123.6
2023-12,123.8
2024-01,125
2024-02,123.1
2024-03,123.8
2024-04,127.7
2024-05,125.2
2024-06,123.3
2024-07,123.4
2024-08,124.4
2024-09,123.5
2024-10,121.1
2024-11,125.9
2024-12,127.7
2025-01,127.2
2025-02,126.4
2025-03,121.1
2025-04,121.7
2025-05,117.5
2025-06,117.8
2025-07,118.1
