date,Indonesia GDP Growth Rate
2015-09-01,3.31
2015-12-01,-1.73
2016-03-01,-0.36
2016-06-01,4.01
2016-09-01,3.14
2016-12-01,-1.81
2017-03-01,-0.3
2017-06-01,4.01
2017-09-01,3.19
2017-12-01,-1.7
2018-03-01,-0.41
2018-06-01,4.21
2018-09-01,3.09
2018-12-01,-1.69
2019-03-01,-0.52
2019-06-01,4.2
2019-09-01,3.06
2019-12-01,-1.74
2020-03-01,-2.41
2020-06-01,-4.19
2020-09-01,5.05
2020-12-01,-0.42
2021-03-01,-0.92
2021-06-01,3.31
2021-09-01,1.55
2021-12-01,1.06
2022-03-01,-0.95
2022-06-01,3.72
2022-09-01,1.83
2022-12-01,0.36
2023-03-01,-0.91
2023-06-01,3.86
2023-09-01,1.6
2023-12-01,0.45
2024-03-01,-0.83
2024-06-01,3.79
2024-09-01,1.5
2024-12-01,0.53
2025-03-01,-0.98
2025-06-01,4.04
